Date,Debit
19-Dec-2021,11203
19-Dec-2021,18750
20-Dec-2021,1.5
20-Dec-2021,30
20-Dec-2021,3988
21-Dec-2021,25000
21-Dec-2021,0.05
21-Dec-2021,0.05
21-Dec-2021,287267.7
21-Dec-2021,1.5
21-Dec-2021,30
21-Dec-2021,1.5
21-Dec-2021,30
21-Dec-2021,500661.32
21-Dec-2021,1.5
21-Dec-2021,30
21-Dec-2021,6600
21-Dec-2021,30
21-Dec-2021,25025.96
21-Dec-2021,1.5
22-Dec-2021,22383
27-Dec-2021,7000
27-Dec-2021,25741
27-Dec-2021,6000
28-Dec-2021,1.5
28-Dec-2021,30
28-Dec-2021,616780.65
29-Dec-2021,9235
29-Dec-2021,6.25
29-Dec-2021,125
29-Dec-2021,1.5
29-Dec-2021,30
29-Dec-2021,154195.16
30-Dec-2021,1.5
30-Dec-2021,30
30-Dec-2021,30000
04-Jan-2022,4.75
04-Jan-2022,95
04-Jan-2022,26580
04-Jan-2022,5915
04-Jan-2022,1.5
04-Jan-2022,30
04-Jan-2022,154195.16
05-Jan-2022,1.5
05-Jan-2022,30
05-Jan-2022,616780.65
06-Jan-2022,1.5
06-Jan-2022,30
06-Jan-2022,154195.16
06-Jan-2022,0.05
10-Jan-2022,23176
10-Jan-2022,0.05
10-Jan-2022,1.5
10-Jan-2022,30
10-Jan-2022,308390.33
11-Jan-2022,1.5
11-Jan-2022,30
11-Jan-2022,1439
11-Jan-2022,1.5
11-Jan-2022,30
11-Jan-2022,5000
12-Jan-2022,1.5
12-Jan-2022,30
12-Jan-2022,30000
13-Jan-2022,37336
13-Jan-2022,7.5
13-Jan-2022,150
13-Jan-2022,20000
14-Jan-2022,1.5
14-Jan-2022,30
14-Jan-2022,4000
14-Jan-2022,14350
14-Jan-2022,0.05
14-Jan-2022,1.5
14-Jan-2022,30
14-Jan-2022,18000
14-Jan-2022,1.5
14-Jan-2022,30
14-Jan-2022,182018.19
14-Jan-2022,1.5
14-Jan-2022,30
14-Jan-2022,45696.5
14-Jan-2022,1.5
14-Jan-2022,30
14-Jan-2022,12000
15-Jan-2022,1.95
15-Jan-2022,39
17-Jan-2022,1.5
17-Jan-2022,30
17-Jan-2022,2000
17-Jan-2022,5223.75
18-Jan-2022,16
18-Jan-2022,0.8
18-Jan-2022,1.5
18-Jan-2022,30
18-Jan-2022,154195.16
19-Jan-2022,0.05
19-Jan-2022,1.84
19-Jan-2022,1.5
19-Jan-2022,30
19-Jan-2022,154195.16
20-Jan-2022,1.5
20-Jan-2022,30
20-Jan-2022,6399
20-Jan-2022,1.5
20-Jan-2022,30
20-Jan-2022,344854.44
21-Jan-2022,6000
21-Jan-2022,30000
21-Jan-2022,25426
24-Jan-2022,100000
24-Jan-2022,0.05
25-Jan-2022,54260
27-Jan-2022,7000
29-Jan-2022,0.8
29-Jan-2022,1.88
29-Jan-2022,16
29-Jan-2022,37.5
29-Jan-2022,60000
31-Jan-2022,1.5
31-Jan-2022,30
31-Jan-2022,40000
31-Jan-2022,12000
01-Feb-2022,12600
01-Feb-2022,0.05
01-Feb-2022,1.5
01-Feb-2022,30
01-Feb-2022,143510.85
03-Feb-2022,0.03
03-Feb-2022,0.6
03-Feb-2022,4.75
03-Feb-2022,95
03-Feb-2022,0.05
03-Feb-2022,1
03-Feb-2022,30
03-Feb-2022,3255
03-Feb-2022,1.5
04-Feb-2022,0.05
04-Feb-2022,1
04-Feb-2022,7.5
04-Feb-2022,150
04-Feb-2022,52836.67
05-Feb-2022,1.5
05-Feb-2022,30
05-Feb-2022,212144.63
07-Feb-2022,1.5
07-Feb-2022,30
07-Feb-2022,10000
09-Feb-2022,1.5
09-Feb-2022,30
09-Feb-2022,498.75
09-Feb-2022,1.5
09-Feb-2022,30
09-Feb-2022,192638.34
09-Feb-2022,1.5
09-Feb-2022,30
09-Feb-2022,1439
10-Feb-2022,36.73
10-Feb-2022,1.84
10-Feb-2022,929775
10-Feb-2022,1.5
10-Feb-2022,30
10-Feb-2022,286533
10-Feb-2022,1.5
10-Feb-2022,30
10-Feb-2022,345827.7
10-Feb-2022,13252
11-Feb-2022,0.8
11-Feb-2022,16
11-Feb-2022,7.5
11-Feb-2022,150
11-Feb-2022,65395
11-Feb-2022,1.5
11-Feb-2022,30
11-Feb-2022,24500
11-Feb-2022,1.5
11-Feb-2022,30
11-Feb-2022,12000
11-Feb-2022,1.5
11-Feb-2022,30
11-Feb-2022,30000
14-Feb-2022,0.05
14-Feb-2022,1
15-Feb-2022,5238
15-Feb-2022,1500
15-Feb-2022,7967
15-Feb-2022,4305
15-Feb-2022,8474
15-Feb-2022,4815
15-Feb-2022,2565
15-Feb-2022,1.5
15-Feb-2022,30
15-Feb-2022,1280
15-Feb-2022,1.5
15-Feb-2022,30
15-Feb-2022,212144.63
15-Feb-2022,1.5
15-Feb-2022,1.5
15-Feb-2022,30
15-Feb-2022,18000
15-Feb-2022,1.5
15-Feb-2022,30
15-Feb-2022,35500
15-Feb-2022,1.5
15-Feb-2022,30
15-Feb-2022,71000
15-Feb-2022,1.5
15-Feb-2022,30
15-Feb-2022,57725
15-Feb-2022,30
15-Feb-2022,192638.34
16-Feb-2022,3750
16-Feb-2022,20000
16-Feb-2022,3.75
16-Feb-2022,75
16-Feb-2022,1.5
16-Feb-2022,30
16-Feb-2022,9600
17-Feb-2022,7.5
17-Feb-2022,150
17-Feb-2022,36000
17-Feb-2022,10015
18-Feb-2022,18750
18-Feb-2022,1.5
18-Feb-2022,30
18-Feb-2022,350499.66
