,Credit
2021-12-20,1255650.0
2021-12-21,1941825.0
2021-12-22,2628000.0
2021-12-23,4567500.0
2021-12-24,3228750.0
2021-12-25,1890000.0
2021-12-26,1768900.0
2021-12-27,1647800.0
2021-12-28,1526700.0
2021-12-29,1052100.0
2021-12-30,577500.0
2021-12-31,502687.5
2022-01-01,427875.0
2022-01-02,353062.5
2022-01-03,278250.0
2022-01-04,748875.0
2022-01-05,1219500.0
2022-01-06,388500.0
2022-01-07,2306500.0
2022-01-08,7537666.666666667
2022-01-09,12768833.333333334
2022-01-10,18000000.0
2022-01-11,7992000.0
2022-01-12,6919000.0
2022-01-13,5846000.0
2022-01-14,4773000.0
2022-01-15,3700000.0
2022-01-16,2627000.0
2022-01-17,1554000.0
2022-01-18,9000000.0
2022-01-19,3994700.0
2022-01-20,2835000.0
2022-01-21,1612800.0
2022-01-22,390600.0
2022-01-23,2025250.0
2022-01-24,3659900.0
2022-01-25,3244925.0
2022-01-26,2829950.0
2022-01-27,2414975.0
2022-01-28,2000000.0
2022-01-29,2524000.0
2022-01-30,3048000.0
2022-01-31,3572000.0
2022-02-01,4096000.0
2022-02-02,4620000.0
2022-02-03,2555400.0
2022-02-04,490800.0
2022-02-05,574770.0
2022-02-06,1326885.0
2022-02-07,2079000.0
2022-02-08,2000500.0
2022-02-09,1181200.0
2022-02-10,736000.0
2022-02-11,739175.0
2022-02-12,742350.0
2022-02-13,633675.0
2022-02-14,525000.0
2022-02-15,426250.0
2022-02-16,327500.0
2022-02-17,228750.0
2022-02-18,130000.0
2022-02-19,1902500.0
2022-02-20,3675000.0
2022-02-21,5447500.0
2022-02-22,7220000.0
2022-02-23,5433750.0
2022-02-24,173250.0
2022-02-25,559000.0
2022-02-26,944750.0
2022-02-27,1330500.0
2022-02-28,1716250.0
2022-03-01,2102000.0
2022-03-02,2646200.0
2022-03-03,3190400.0
2022-03-04,3734600.0
2022-03-05,1029000.0
2022-03-06,1664250.0
2022-03-07,2299500.0
2022-03-08,7200000.0
2022-03-09,1092000.0
2022-03-10,5448500.0
2022-03-11,3000000.0
2022-03-12,2500000.0
2022-03-13,2000000.0
2022-03-14,1500000.0
2022-03-15,400000.0
2022-03-16,167000.0
2022-03-17,6120000.0
2022-03-18,472500.0
2022-03-19,6930000.0
2022-03-20,5071500.0
2022-03-21,3213000.0
2022-03-22,1354500.0
2022-03-23,7000000.0
2022-03-24,2867500.0
2022-03-25,2347625.0
2022-03-26,1827750.0
2022-03-27,1307875.0
2022-03-28,788000.0
2022-03-29,268125.0
2022-03-30,848300.0
2022-03-31,1428475.0
2022-04-01,2008650.0
2022-04-02,3486920.0
2022-04-03,4965190.0
2022-04-04,6443460.0
2022-04-05,7921730.0
2022-04-06,9400000.0
2022-04-07,5697500.0
2022-04-08,1995000.0
2022-04-09,10000000.0
2022-04-10,5326812.5
2022-04-11,653625.0
2022-04-12,10000000.0
2022-04-13,4386200.0
2022-04-14,380000.0
2022-04-15,655000.0
2022-04-16,930000.0
2022-04-17,1515000.0
2022-04-18,2100000.0
2022-04-19,2154075.0
2022-04-20,915375.0
2022-04-21,9790000.0
2022-04-22,9500000.0
2022-04-23,9666666.666666666
2022-04-24,9833333.333333334
2022-04-25,10000000.0
2022-04-26,4500000.0
2022-04-27,2985000.0
2022-04-28,1470000.0
2022-04-29,2500000.0
2022-04-30,2631083.3333333335
2022-05-01,2762166.6666666665
2022-05-02,2893250.0
2022-05-03,3024333.3333333335
2022-05-04,3155416.666666667
2022-05-05,3286500.0
2022-05-06,1834612.5
2022-05-07,382725.0
2022-05-08,548362.5
2022-05-09,714000.0
2022-05-10,908200.0
2022-05-11,13975000.0
2022-05-12,10000000.0
2022-05-13,1391250.0
2022-05-14,2730000.0
2022-05-15,6820000.0
2022-05-16,10910000.0
2022-05-17,15000000.0
2022-05-18,7300000.0
2022-05-19,3875750.0
2022-05-20,451500.0
